Device Label, Date, Time, Duration
Admission Right Respone,8/26/2021,16:11:37.778,00:00:00.172
Admission Right Respone,8/26/2021,16:47:19.911,00:00:00.172
Admission Right Respone,8/26/2021,16:21:12.572,00:00:00.171
Admission Right Respone,8/26/2021,16:22:09.598,00:00:00.171
Admission Right Respone,8/26/2021,16:22:10.294,00:00:00.171
Admission Right Respone,8/26/2021,16:31:25.322,00:00:00.171
Admission Right Respone,8/26/2021,16:01:34.053,00:00:00.170
Admission Right Respone,8/26/2021,16:09:37.312,00:00:00.170
Admission Right Respone,8/26/2021,16:17:02.401,00:00:00.170
Admission Right Respone,8/26/2021,16:19:10.789,00:00:00.169
Admission Right Respone,8/26/2021,16:14:09.382,00:00:00.168
Admission Right Respone,8/26/2021,16:41:04.563,00:00:00.168
Admission Right Respone,8/26/2021,16:04:30.059,00:00:00.167
Admission Right Respone,8/26/2021,16:14:35.091,00:00:00.167
Admission Right Respone,8/26/2021,16:44:40.426,00:00:00.167
Admission Right Respone,8/26/2021,16:47:15.919,00:00:00.167
Admission Right Respone,8/26/2021,16:06:32.922,00:00:00.166
Admission Right Respone,8/26/2021,16:06:36.172,00:00:00.166
Admission Right Respone,8/26/2021,16:08:22.891,00:00:00.166
Admission Right Respone,8/26/2021,16:09:02.124,00:00:00.166
Admission Right Respone,8/26/2021,16:11:34.005,00:00:00.166
Admission Right Respone,8/26/2021,16:17:36.499,00:00:00.166
Admission Right Respone,8/26/2021,16:26:37.455,00:00:00.166
Admission Right Respone,8/26/2021,16:46:59.742,00:00:00.166
Admission Right Respone,8/26/2021,16:01:33.269,00:00:00.165
Admission Right Respone,8/26/2021,16:05:09.194,00:00:00.165
Admission Right Respone,8/26/2021,16:11:39.946,00:00:00.165
Admission Right Respone,8/26/2021,16:19:27.203,00:00:00.165
Admission Right Respone,8/26/2021,16:22:33.216,00:00:00.165
Admission Right Respone,8/26/2021,16:57:19.292,00:00:00.165
Admission Right Respone,8/26/2021,16:03:25.328,00:00:00.164
Admission Right Respone,8/26/2021,16:04:19.610,00:00:00.164
Admission Right Respone,8/26/2021,16:07:18.519,00:00:00.164
Admission Right Respone,8/26/2021,16:07:55.827,00:00:00.164
Admission Right Respone,8/26/2021,16:12:49.490,00:00:00.164
Admission Right Respone,8/26/2021,16:22:32.155,00:00:00.164
Admission Right Respone,8/26/2021,16:23:16.038,00:00:00.164
Admission Right Respone,8/26/2021,16:32:46.075,00:00:00.164
Admission Right Respone,8/26/2021,16:35:38.259,00:00:00.164
Admission Right Respone,8/26/2021,16:44:49.873,00:00:00.164
Admission Right Respone,8/26/2021,16:01:18.434,00:00:00.163
Admission Right Respone,8/26/2021,16:04:21.611,00:00:00.163
Admission Right Respone,8/26/2021,16:04:52.121,00:00:00.163
Admission Right Respone,8/26/2021,16:13:20.008,00:00:00.163
Admission Right Respone,8/26/2021,16:16:53.113,00:00:00.163
Admission Right Respone,8/26/2021,16:17:03.377,00:00:00.163
Admission Right Respone,8/26/2021,16:17:33.773,00:00:00.163
Admission Right Respone,8/26/2021,16:21:09.964,00:00:00.163
Admission Right Respone,8/26/2021,16:21:11.217,00:00:00.163
Admission Right Respone,8/26/2021,16:21:13.889,00:00:00.163
Admission Right Respone,8/26/2021,16:22:30.975,00:00:00.163
Admission Right Respone,8/26/2021,16:32:24.399,00:00:00.163
Admission Right Respone,8/26/2021,16:32:25.487,00:00:00.163
Admission Right Respone,8/26/2021,16:40:33.952,00:00:00.163
Admission Right Respone,8/26/2021,16:44:15.289,00:00:00.163
Admission Right Respone,8/26/2021,16:47:14.994,00:00:00.163
Admission Right Respone,8/26/2021,16:52:35.289,00:00:00.163
Admission Right Respone,8/26/2021,16:07:17.796,00:00:00.162
Admission Right Respone,8/26/2021,16:07:54.394,00:00:00.162
Admission Right Respone,8/26/2021,16:08:24.192,00:00:00.162
Admission Right Respone,8/26/2021,16:11:22.937,00:00:00.162
Admission Right Respone,8/26/2021,16:14:34.053,00:00:00.162
Admission Right Respone,8/26/2021,16:16:27.959,00:00:00.162
Admission Right Respone,8/26/2021,16:16:54.080,00:00:00.162
Admission Right Respone,8/26/2021,16:18:59.874,00:00:00.162
Admission Right Respone,8/26/2021,16:24:45.532,00:00:00.162
Admission Right Respone,8/26/2021,16:44:14.117,00:00:00.162
Admission Right Respone,8/26/2021,16:55:48.189,00:00:00.162
Admission Right Respone,8/26/2021,16:55:52.673,00:00:00.162
Admission Right Respone,8/26/2021,16:13:21.369,00:00:00.161
Admission Right Respone,8/26/2021,16:13:25.768,00:00:00.161
Admission Right Respone,8/26/2021,16:30:15.858,00:00:00.161
Admission Right Respone,8/26/2021,16:31:29.311,00:00:00.161
Admission Right Respone,8/26/2021,16:32:30.994,00:00:00.161
Admission Right Respone,8/26/2021,16:33:07.987,00:00:00.161
Admission Right Respone,8/26/2021,16:01:29.735,00:00:00.160
Admission Right Respone,8/26/2021,16:08:24.794,00:00:00.160
Admission Right Respone,8/26/2021,16:14:10.665,00:00:00.160
Admission Right Respone,8/26/2021,16:14:36.970,00:00:00.160
Admission Right Respone,8/26/2021,16:14:39.127,00:00:00.160
Admission Right Respone,8/26/2021,16:17:14.217,00:00:00.160
Admission Right Respone,8/26/2021,16:23:06.605,00:00:00.160
Admission Right Respone,8/26/2021,16:24:25.955,00:00:00.160
Admission Right Respone,8/26/2021,16:24:29.448,00:00:00.160
Admission Right Respone,8/26/2021,16:24:46.669,00:00:00.160
Admission Right Respone,8/26/2021,16:33:16.111,00:00:00.160
Admission Right Respone,8/26/2021,16:40:31.575,00:00:00.160
Admission Right Respone,8/26/2021,16:47:11.628,00:00:00.160
Admission Right Respone,8/26/2021,16:52:36.292,00:00:00.160
Admission Right Respone,8/26/2021,16:56:31.753,00:00:00.160
Admission Right Respone,8/26/2021,16:08:25.275,00:00:00.159
Admission Right Respone,8/26/2021,16:14:07.888,00:00:00.159
Admission Right Respone,8/26/2021,16:16:27.291,00:00:00.159
Admission Right Respone,8/26/2021,16:24:02.494,00:00:00.159
Admission Right Respone,8/26/2021,16:33:15.193,00:00:00.159
Admission Right Respone,8/26/2021,16:42:31.449,00:00:00.159
Admission Right Respone,8/26/2021,16:01:34.742,00:00:00.158
Admission Right Respone,8/26/2021,16:01:40.790,00:00:00.158
Admission Right Respone,8/26/2021,16:04:14.387,00:00:00.158
Admission Right Respone,8/26/2021,16:04:32.863,00:00:00.158
Admission Right Respone,8/26/2021,16:04:55.616,00:00:00.158
Admission Right Respone,8/26/2021,16:08:11.971,00:00:00.158
Admission Right Respone,8/26/2021,16:13:18.412,00:00:00.158
Admission Right Respone,8/26/2021,16:16:05.104,00:00:00.158
Admission Right Respone,8/26/2021,16:16:21.993,00:00:00.158
Admission Right Respone,8/26/2021,16:17:15.512,00:00:00.158
Admission Right Respone,8/26/2021,16:20:58.568,00:00:00.158
Admission Right Respone,8/26/2021,16:23:14.780,00:00:00.158
Admission Right Respone,8/26/2021,16:23:28.275,00:00:00.158
Admission Right Respone,8/26/2021,16:23:29.474,00:00:00.158
Admission Right Respone,8/26/2021,16:24:04.058,00:00:00.158
Admission Right Respone,8/26/2021,16:28:30.606,00:00:00.158
Admission Right Respone,8/26/2021,16:31:22.498,00:00:00.158
Admission Right Respone,8/26/2021,16:40:32.751,00:00:00.158
Admission Right Respone,8/26/2021,16:44:40.893,00:00:00.158
Admission Right Respone,8/26/2021,16:01:03.278,00:00:00.157
Admission Right Respone,8/26/2021,16:01:30.692,00:00:00.157
Admission Right Respone,8/26/2021,16:05:06.340,00:00:00.157
Admission Right Respone,8/26/2021,16:08:57.425,00:00:00.157
Admission Right Respone,8/26/2021,16:09:36.189,00:00:00.157
Admission Right Respone,8/26/2021,16:12:24.954,00:00:00.157
Admission Right Respone,8/26/2021,16:16:15.930,00:00:00.157
Admission Right Respone,8/26/2021,16:24:00.807,00:00:00.157
Admission Right Respone,8/26/2021,16:24:49.079,00:00:00.157
Admission Right Respone,8/26/2021,16:26:57.553,00:00:00.157
Admission Right Respone,8/26/2021,16:29:18.600,00:00:00.157
Admission Right Respone,8/26/2021,16:29:40.517,00:00:00.157
Admission Right Respone,8/26/2021,16:32:29.826,00:00:00.157
Admission Right Respone,8/26/2021,16:32:51.044,00:00:00.157
Admission Right Respone,8/26/2021,16:32:51.974,00:00:00.157
Admission Right Respone,8/26/2021,16:42:30.660,00:00:00.157
Admission Right Respone,8/26/2021,16:46:58.821,00:00:00.157
Admission Right Respone,8/26/2021,16:55:46.399,00:00:00.157
Admission Right Respone,8/26/2021,16:01:39.744,00:00:00.156
Admission Right Respone,8/26/2021,16:04:16.495,00:00:00.156
Admission Right Respone,8/26/2021,16:04:57.884,00:00:00.156
Admission Right Respone,8/26/2021,16:05:20.469,00:00:00.156
Admission Right Respone,8/26/2021,16:08:58.912,00:00:00.156
Admission Right Respone,8/26/2021,16:09:03.540,00:00:00.156
Admission Right Respone,8/26/2021,16:13:22.724,00:00:00.156
Admission Right Respone,8/26/2021,16:16:28.402,00:00:00.156
Admission Right Respone,8/26/2021,16:17:03.863,00:00:00.156
Admission Right Respone,8/26/2021,16:23:33.262,00:00:00.156
Admission Right Respone,8/26/2021,16:24:27.944,00:00:00.156
Admission Right Respone,8/26/2021,16:24:50.798,00:00:00.156
Admission Right Respone,8/26/2021,16:24:51.418,00:00:00.156
Admission Right Respone,8/26/2021,16:25:34.061,00:00:00.156
Admission Right Respone,8/26/2021,16:29:39.546,00:00:00.156
Admission Right Respone,8/26/2021,16:32:52.493,00:00:00.156
Admission Right Respone,8/26/2021,16:32:55.508,00:00:00.156
Admission Right Respone,8/26/2021,16:36:50.426,00:00:00.156
Admission Right Respone,8/26/2021,16:44:35.510,00:00:00.156
Admission Right Respone,8/26/2021,16:45:18.066,00:00:00.156
Admission Right Respone,8/26/2021,16:59:46.465,00:00:00.156
Admission Right Respone,8/26/2021,16:01:02.706,00:00:00.155
Admission Right Respone,8/26/2021,16:01:04.127,00:00:00.155
Admission Right Respone,8/26/2021,16:01:05.189,00:00:00.155
Admission Right Respone,8/26/2021,16:01:07.180,00:00:00.155
Admission Right Respone,8/26/2021,16:01:17.374,00:00:00.155
Admission Right Respone,8/26/2021,16:04:35.874,00:00:00.155
Admission Right Respone,8/26/2021,16:16:18.261,00:00:00.155
Admission Right Respone,8/26/2021,16:16:19.653,00:00:00.155
Admission Right Respone,8/26/2021,16:17:34.905,00:00:00.155
Admission Right Respone,8/26/2021,16:18:47.190,00:00:00.155
Admission Right Respone,8/26/2021,16:26:39.376,00:00:00.155
Admission Right Respone,8/26/2021,16:31:26.332,00:00:00.155
Admission Right Respone,8/26/2021,16:32:23.280,00:00:00.155
Admission Right Respone,8/26/2021,16:39:24.620,00:00:00.155
Admission Right Respone,8/26/2021,16:40:36.258,00:00:00.155
Admission Right Respone,8/26/2021,16:42:42.422,00:00:00.155
Admission Right Respone,8/26/2021,16:46:56.068,00:00:00.155
Admission Right Respone,8/26/2021,16:47:01.577,00:00:00.155
Admission Right Respone,8/26/2021,16:52:29.727,00:00:00.155
Admission Right Respone,8/26/2021,16:53:18.386,00:00:00.155
Admission Right Respone,8/26/2021,16:01:05.981,00:00:00.154
Admission Right Respone,8/26/2021,16:01:32.639,00:00:00.154
Admission Right Respone,8/26/2021,16:04:34.925,00:00:00.154
Admission Right Respone,8/26/2021,16:13:55.253,00:00:00.154
Admission Right Respone,8/26/2021,16:16:22.867,00:00:00.154
Admission Right Respone,8/26/2021,16:17:00.446,00:00:00.154
Admission Right Respone,8/26/2021,16:18:37.405,00:00:00.154
Admission Right Respone,8/26/2021,16:18:40.303,00:00:00.154
Admission Right Respone,8/26/2021,16:27:20.716,00:00:00.154
Admission Right Respone,8/26/2021,16:32:26.690,00:00:00.154
Admission Right Respone,8/26/2021,16:32:46.998,00:00:00.154
Admission Right Respone,8/26/2021,16:32:54.975,00:00:00.154
Admission Right Respone,8/26/2021,16:33:13.994,00:00:00.154
Admission Right Respone,8/26/2021,16:44:41.559,00:00:00.154
Admission Right Respone,8/26/2021,16:46:57.171,00:00:00.154
Admission Right Respone,8/26/2021,16:47:00.638,00:00:00.154
Admission Right Respone,8/26/2021,16:55:47.323,00:00:00.154
Admission Right Respone,8/26/2021,16:01:41.638,00:00:00.153
Admission Right Respone,8/26/2021,16:04:18.459,00:00:00.153
Admission Right Respone,8/26/2021,16:04:33.830,00:00:00.153
Admission Right Respone,8/26/2021,16:04:56.614,00:00:00.153
Admission Right Respone,8/26/2021,16:11:21.011,00:00:00.153
Admission Right Respone,8/26/2021,16:11:22.660,00:00:00.153
Admission Right Respone,8/26/2021,16:13:24.264,00:00:00.153
Admission Right Respone,8/26/2021,16:18:45.356,00:00:00.153
Admission Right Respone,8/26/2021,16:23:30.384,00:00:00.153
Admission Right Respone,8/26/2021,16:23:56.782,00:00:00.153
Admission Right Respone,8/26/2021,16:26:53.368,00:00:00.153
Admission Right Respone,8/26/2021,16:28:26.665,00:00:00.153
Admission Right Respone,8/26/2021,16:29:21.214,00:00:00.153
Admission Right Respone,8/26/2021,16:31:30.314,00:00:00.153
Admission Right Respone,8/26/2021,16:35:24.728,00:00:00.153
Admission Right Respone,8/26/2021,16:41:05.505,00:00:00.153
Admission Right Respone,8/26/2021,16:44:02.209,00:00:00.153
Admission Right Respone,8/26/2021,16:55:51.296,00:00:00.153
Admission Right Respone,8/26/2021,16:03:20.395,00:00:00.152
Admission Right Respone,8/26/2021,16:04:30.989,00:00:00.152
Admission Right Respone,8/26/2021,16:04:53.545,00:00:00.152
Admission Right Respone,8/26/2021,16:04:54.568,00:00:00.152
Admission Right Respone,8/26/2021,16:07:31.748,00:00:00.152
Admission Right Respone,8/26/2021,16:15:31.865,00:00:00.152
Admission Right Respone,8/26/2021,16:16:25.975,00:00:00.152
Admission Right Respone,8/26/2021,16:26:38.435,00:00:00.152
Admission Right Respone,8/26/2021,16:29:17.486,00:00:00.152
Admission Right Respone,8/26/2021,16:31:24.375,00:00:00.152
Admission Right Respone,8/26/2021,16:42:34.116,00:00:00.152
Admission Right Respone,8/26/2021,16:44:12.928,00:00:00.152
Admission Right Respone,8/26/2021,16:53:04.954,00:00:00.152
Admission Right Respone,8/26/2021,16:00:32.709,00:00:00.151
Admission Right Respone,8/26/2021,16:09:34.994,00:00:00.151
Admission Right Respone,8/26/2021,16:11:21.553,00:00:00.151
Admission Right Respone,8/26/2021,16:24:50.274,00:00:00.151
Admission Right Respone,8/26/2021,16:24:53.457,00:00:00.151
Admission Right Respone,8/26/2021,16:31:23.396,00:00:00.151
Admission Right Respone,8/26/2021,16:31:27.374,00:00:00.151
Admission Right Respone,8/26/2021,16:33:55.163,00:00:00.151
Admission Right Respone,8/26/2021,16:53:03.692,00:00:00.151
Admission Right Respone,8/26/2021,16:14:38.358,00:00:00.150
Admission Right Respone,8/26/2021,16:36:54.418,00:00:00.150
Admission Right Respone,8/26/2021,16:39:09.468,00:00:00.150
Admission Right Respone,8/26/2021,16:40:30.100,00:00:00.150
Admission Right Respone,8/26/2021,16:46:57.911,00:00:00.150
Admission Right Respone,8/26/2021,16:30:13.963,00:00:00.149
Admission Right Respone,8/26/2021,16:46:39.330,00:00:00.149
Admission Right Respone,8/26/2021,16:11:24.244,00:00:00.148
Admission Right Respone,8/26/2021,16:15:28.823,00:00:00.148
Admission Right Respone,8/26/2021,16:16:47.824,00:00:00.148
Admission Right Respone,8/26/2021,16:42:29.628,00:00:00.148
Admission Right Respone,8/26/2021,16:42:32.789,00:00:00.148
Admission Right Respone,8/26/2021,16:17:00.815,00:00:00.147
Admission Right Respone,8/26/2021,16:17:04.237,00:00:00.147
Admission Right Respone,8/26/2021,16:33:54.573,00:00:00.147
Admission Right Respone,8/26/2021,16:36:45.970,00:00:00.147
Admission Right Respone,8/26/2021,16:08:25.661,00:00:00.146
Admission Right Respone,8/26/2021,16:14:11.009,00:00:00.146
Admission Right Respone,8/26/2021,16:15:36.138,00:00:00.146
Admission Right Respone,8/26/2021,16:24:05.612,00:00:00.146
Admission Right Respone,8/26/2021,16:26:58.456,00:00:00.146
Admission Right Respone,8/26/2021,16:15:34.712,00:00:00.145
Admission Right Respone,8/26/2021,16:18:38.827,00:00:00.145
Admission Right Respone,8/26/2021,16:23:56.094,00:00:00.145
Admission Right Respone,8/26/2021,16:01:34.385,00:00:00.144
Admission Right Respone,8/26/2021,16:03:19.152,00:00:00.144
Admission Right Respone,8/26/2021,16:06:38.311,00:00:00.144
Admission Right Respone,8/26/2021,16:24:28.311,00:00:00.144
Admission Right Respone,8/26/2021,16:30:54.709,00:00:00.144
Admission Right Respone,8/26/2021,16:00:34.933,00:00:00.143
Admission Right Respone,8/26/2021,16:53:22.054,00:00:00.143
Admission Right Respone,8/26/2021,16:13:15.690,00:00:00.142
Admission Right Respone,8/26/2021,16:14:09.844,00:00:00.142
Admission Right Respone,8/26/2021,16:17:02.777,00:00:00.142
Admission Right Respone,8/26/2021,16:00:34.626,00:00:00.141
Admission Right Respone,8/26/2021,16:26:36.703,00:00:00.141
Admission Right Respone,8/26/2021,16:37:24.818,00:00:00.141
Admission Right Respone,8/26/2021,16:40:30.426,00:00:00.141
Admission Right Respone,8/26/2021,16:59:31.390,00:00:00.141
Admission Right Respone,8/26/2021,16:04:20.647,00:00:00.140
Admission Right Respone,8/26/2021,16:18:35.589,00:00:00.140
Admission Right Respone,8/26/2021,16:23:58.884,00:00:00.140
Admission Right Respone,8/26/2021,16:25:33.003,00:00:00.140
Admission Right Respone,8/26/2021,16:28:29.854,00:00:00.140
Admission Right Respone,8/26/2021,16:47:41.175,00:00:00.140
Admission Right Respone,8/26/2021,16:03:22.512,00:00:00.139
Admission Right Respone,8/26/2021,16:39:01.341,00:00:00.139
Admission Right Respone,8/26/2021,16:53:02.673,00:00:00.139
Admission Right Respone,8/26/2021,16:53:21.785,00:00:00.139
Admission Right Respone,8/26/2021,16:00:31.958,00:00:00.138
Admission Right Respone,8/26/2021,16:10:04.635,00:00:00.138
Admission Right Respone,8/26/2021,16:29:16.573,00:00:00.138
Admission Right Respone,8/26/2021,16:32:22.018,00:00:00.138
Admission Right Respone,8/26/2021,16:11:21.965,00:00:00.137
Admission Right Respone,8/26/2021,16:13:51.572,00:00:00.137
Admission Right Respone,8/26/2021,16:31:21.508,00:00:00.137
Admission Right Respone,8/26/2021,16:44:14.563,00:00:00.137
Admission Right Respone,8/26/2021,16:44:15.685,00:00:00.137
Admission Right Respone,8/26/2021,16:44:16.284,00:00:00.137
Admission Right Respone,8/26/2021,16:53:20.062,00:00:00.137
Admission Right Respone,8/26/2021,16:54:44.610,00:00:00.137
Admission Right Respone,8/26/2021,16:59:26.731,00:00:00.137
Admission Right Respone,8/26/2021,16:00:33.112,00:00:00.136
Admission Right Respone,8/26/2021,16:52:28.626,00:00:00.136
Admission Right Respone,8/26/2021,16:00:31.459,00:00:00.135
Admission Right Respone,8/26/2021,16:09:38.308,00:00:00.135
Admission Right Respone,8/26/2021,16:18:03.334,00:00:00.135
Admission Right Respone,8/26/2021,16:31:28.392,00:00:00.135
Admission Right Respone,8/26/2021,16:33:36.294,00:00:00.133
Admission Right Respone,8/26/2021,16:35:26.724,00:00:00.132
Admission Right Respone,8/26/2021,16:45:16.341,00:00:00.131
Admission Right Respone,8/26/2021,16:52:56.460,00:00:00.130
Admission Right Respone,8/26/2021,16:11:23.644,00:00:00.129
Admission Right Respone,8/26/2021,16:13:45.971,00:00:00.129
Admission Right Respone,8/26/2021,16:34:15.356,00:00:00.128
Admission Right Respone,8/26/2021,16:55:40.879,00:00:00.128
Admission Right Respone,8/26/2021,16:37:20.738,00:00:00.127
Admission Right Respone,8/26/2021,16:03:45.543,00:00:00.126
Admission Right Respone,8/26/2021,16:05:40.616,00:00:00.126
Admission Right Respone,8/26/2021,16:27:18.665,00:00:00.126
Admission Right Respone,8/26/2021,16:45:44.368,00:00:00.126
Admission Right Respone,8/26/2021,16:34:43.623,00:00:00.125
Admission Right Respone,8/26/2021,16:07:04.594,00:00:00.124
Admission Right Respone,8/26/2021,16:27:40.930,00:00:00.124
Admission Right Respone,8/26/2021,16:59:28.474,00:00:00.124
Admission Right Respone,8/26/2021,16:56:19.119,00:00:00.123
Admission Right Respone,8/26/2021,16:19:48.680,00:00:00.122
Admission Right Respone,8/26/2021,16:41:33.044,00:00:00.122
Admission Right Respone,8/26/2021,16:59:03.882,00:00:00.122
Admission Right Respone,8/26/2021,16:39:55.402,00:00:00.121
Admission Right Respone,8/26/2021,16:57:39.658,00:00:00.120
Admission Right Respone,8/26/2021,16:15:56.643,00:00:00.119
Admission Right Respone,8/26/2021,16:00:22.528,00:00:00.118
Admission Right Respone,8/26/2021,16:07:52.026,00:00:00.118
Admission Right Respone,8/26/2021,16:35:11.761,00:00:00.118
Admission Right Respone,8/26/2021,16:50:26.891,00:00:00.118
Admission Right Respone,8/26/2021,16:28:09.049,00:00:00.117
Admission Right Respone,8/26/2021,16:36:04.600,00:00:00.117
Admission Right Respone,8/26/2021,16:36:32.673,00:00:00.117
Admission Right Respone,8/26/2021,16:41:02.620,00:00:00.117
Admission Right Respone,8/26/2021,16:49:02.627,00:00:00.117
Admission Right Respone,8/26/2021,16:56:52.079,00:00:00.117
Admission Right Respone,8/26/2021,16:01:01.176,00:00:00.116
Admission Right Respone,8/26/2021,16:02:36.045,00:00:00.116
Admission Right Respone,8/26/2021,16:38:19.249,00:00:00.116
Admission Right Respone,8/26/2021,16:48:09.414,00:00:00.115
Admission Right Respone,8/26/2021,16:55:12.644,00:00:00.115
Admission Right Respone,8/26/2021,16:03:04.121,00:00:00.114
Admission Right Respone,8/26/2021,16:06:08.943,00:00:00.114
Admission Right Respone,8/26/2021,16:10:32.712,00:00:00.114
Admission Right Respone,8/26/2021,16:21:40.264,00:00:00.114
Admission Right Respone,8/26/2021,16:22:53.536,00:00:00.114
Admission Right Respone,8/26/2021,16:48:34.509,00:00:00.114
Admission Right Respone,8/26/2021,16:54:16.477,00:00:00.114
Admission Right Respone,8/26/2021,16:58:35.804,00:00:00.114
Admission Right Respone,8/26/2021,16:04:13.727,00:00:00.113
Admission Right Respone,8/26/2021,16:08:51.977,00:00:00.113
Admission Right Respone,8/26/2021,16:30:07.608,00:00:00.113
Admission Right Respone,8/26/2021,16:51:50.992,00:00:00.113
Admission Right Respone,8/26/2021,16:22:08.370,00:00:00.112
